Sampling Feature UUID: a8098bc0-141d-4882-b251-bedc0219fe1b
Date and Time in UTC+0
Result UUID: ,36f4f6a1-2f36-4083-b8a8-94f50acdd066,55f349b7-3491-40de-a828-9abb31e9f20d,fbee68c8-5463-4a38-98a8-f985fba923e8,be1d621e-95d4-447e-bee7-97d4102c9f2e
2023-11-08 18:02:35,273,2.81,-6.99,77
2023-11-08 19:02:35,274,2.62,-8.75,85
2023-11-08 20:02:35,275,2.91,-9.33,89
2023-11-08 21:02:35,276,2.68,-9.02,90
2023-11-08 22:02:35,277,2.88,-10.05,89
2023-11-08 23:02:35,278,2.77,-9.79,86
2023-11-09 00:02:35,279,2.58,-10.63,86
2023-11-09 01:02:35,280,2.96,-11.24,88
2023-11-09 02:02:35,281,2.66,-10.83,86
2023-11-09 03:02:35,282,2.72,-3.33,79
2023-11-09 04:02:35,283,2.78,-0.05,64
2023-11-09 05:02:35,284,2.57,7.36,28
2023-11-09 06:02:35,285,2.77,8.33,26
2023-11-09 07:02:35,286,2.67,9.31,23
2023-11-09 08:02:35,287,2.72,10.92,19
2023-11-09 09:02:35,288,2.68,12.25,18
2023-11-09 10:02:35,289,2.89,8.13,25
2023-11-09 11:02:35,290,2.74,-0.01,42
2023-11-09 12:02:35,291,2.79,-0.37,42
2023-11-09 13:02:35,292,2.71,-2.96,57
2023-11-09 14:02:35,293,2.61,-3.84,65
2023-11-09 15:02:35,294,3.06,-4.94,68
2023-11-09 16:02:35,295,2.71,-5.49,69
2023-11-09 17:02:35,296,2.53,-4.61,66
2023-11-09 18:02:35,297,2.62,-6.73,76
2023-11-09 19:02:35,298,2.63,-7.63,76
2023-11-09 20:02:35,299,2.85,-5.84,74
2023-11-09 21:02:35,300,2.81,-4.13,69
2023-11-09 22:02:35,301,2.81,-4.58,70
2023-11-09 23:02:35,302,3.07,-4.84,76
2023-11-10 00:02:35,303,2.78,-4.15,75
2023-11-10 01:02:35,304,2.78,-3.92,72
2023-11-10 02:02:35,305,2.73,-2.42,68
2023-11-10 03:02:35,306,2.64,-0.33,64
2023-11-10 04:02:35,307,2.72,0.6,57
2023-11-10 05:02:35,308,2.89,3.12,45
2023-11-10 06:02:35,309,2.85,5.29,42
2023-11-10 07:02:35,310,2.66,3.7,47
2023-11-10 08:02:35,311,2.61,3.71,51
2023-11-10 09:02:35,312,2.74,8.39,44
2023-11-10 10:02:35,313,2.89,1.91,64
2023-11-10 11:02:35,314,2.77,0.81,64
2023-11-10 12:02:35,315,2.49,-1.44,69
2023-11-10 13:02:35,316,2.86,-2.33,72
2023-11-10 14:02:35,317,2.94,-4.32,71
2023-11-10 15:02:35,318,2.81,-4.12,74
2023-11-10 16:02:35,319,2.85,-3.71,77
2023-11-10 17:02:35,320,2.49,-4.21,78
2023-11-10 18:02:35,321,3.12,-3.02,75
2023-11-10 19:02:35,322,2.78,-1.49,70
2023-11-10 20:02:35,323,2.67,-0.98,66
2023-11-10 21:02:35,324,2.92,0.08,61
2023-11-10 22:02:35,325,2.72,-1.04,63
2023-11-10 23:02:35,326,2.97,0.73,57
2023-11-11 00:02:35,327,2.78,0.49,58
2023-11-11 01:02:35,328,2.7,1.42,57
2023-11-11 02:02:35,329,2.65,2.32,55
2023-11-11 03:02:35,330,2.64,5.52,49
2023-11-11 04:02:35,331,2.68,5.55,51
2023-11-11 05:02:35,332,2.87,7.99,46
2023-11-11 06:02:35,333,2.71,7.28,49
2023-11-11 07:02:35,334,2.59,10.18,41
2023-11-11 08:02:35,335,2.63,9.93,40
2023-11-11 09:02:35,336,2.42,9.91,38
