Node,Message,Time UTC,Battery V,Last TX Dur ms,Temp C,Hum %,Status,Notes
10,68,2023-10-31T05:36:27,3.36,4.27,-3.98,98,0x0,
3,68,2023-10-31T06:02:35,2.63,4.26,4.37,47,0x0,
5,68,2023-10-31T06:29:17,2.81,4.28,3.59,51,0x0,
10,69,2023-10-31T06:36:27,3.37,4.28,-3.03,99,0x0,
3,69,2023-10-31T07:02:35,2.84,4.26,8.5,36,0x0,
5,69,2023-10-31T07:29:17,2.86,4.27,5.81,46,0x0,
10,70,2023-10-31T07:36:27,3.38,4.27,-2.24,99,0x0,
3,70,2023-10-31T08:02:35,2.8,4.27,8.67,36,0x0,
5,70,2023-10-31T08:29:17,2.9,4.27,8.52,39,0x0,
3,71,2023-10-31T09:02:35,2.77,4.28,13.74,30,0x0,
5,71,2023-10-31T09:29:17,2.84,4.27,8.91,38,0x0,
10,72,2023-10-31T09:36:27,3.38,4.27,-0.62,100,0x0,
3,72,2023-10-31T10:02:35,2.83,4.28,16.75,24,0x0,
5,72,2023-10-31T10:29:17,2.65,4.28,9.55,38,0x0,
10,73,2023-10-31T10:36:27,3.38,4.27,-0.38,100,0x2,RFM95_NO_REPLY
3,73,2023-10-31T11:02:35,2.74,4.28,7.67,42,0x2,RFM95_NO_REPLY
5,73,2023-10-31T11:29:17,2.77,4.27,5.85,49,0x2,RFM95_NO_REPLY
10,74,2023-10-31T11:36:27,3.39,4.27,-0.16,100,0x0,
3,74,2023-10-31T12:02:35,2.76,4.27,-1.41,68,0x0,
5,74,2023-10-31T12:29:17,2.7,4.27,-1.88,80,0x0,
10,75,2023-10-31T12:36:27,3.39,4.28,-0.14,100,0x0,
3,75,2023-10-31T13:02:35,2.82,4.25,-2.61,79,0x0,
5,75,2023-10-31T13:29:17,2.86,4.27,-1.67,77,0x0,
10,76,2023-10-31T13:36:27,3.39,4.27,-0.17,100,0x0,
3,76,2023-10-31T14:02:35,2.92,4.25,-4.54,84,0x0,
5,76,2023-10-31T14:29:17,2.7,4.28,-4.44,86,0x0,
10,77,2023-10-31T14:36:27,3.4,4.27,-0.16,100,0x0,
3,77,2023-10-31T15:02:35,3.02,4.25,-5.55,86,0x0,
5,77,2023-10-31T15:29:17,3.04,4.27,-5.01,87,0x0,
10,78,2023-10-31T15:36:27,3.39,4.27,-0.19,100,0x0,
3,78,2023-10-31T16:02:35,2.94,4.25,-6.86,87,0x0,
5,78,2023-10-31T16:29:17,2.55,4.27,-5.7,88,0x0,
10,79,2023-10-31T16:36:27,3.38,4.27,-0.19,100,0x0,
3,79,2023-10-31T17:02:35,2.8,4.25,-6.92,87,0x0,
